Type	Code	Description	Guide
Corrective	822	บันทึกเบิกรายการยาสมุนไพร 9 รายการ มากกว่าที่กำหนด	ตรวจสอบการบันทึกเบิกรหัส HERB1-9 (บริการอื่นๆ ที่ยังไม่ได้จัดหมวด) เกินจำนวนที่ กำหนด แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	823	บันทึกเบิกรหัสบริการหมวด 15 มากกว่าจำนวนตามที่ประกาศ กรมบัญชีกลางกำหนด	ตรวจสอบรหัสเบิกหมวด 15 กรณี OPD สามารถเบิกได้ 1 ครั้งต่อ visit แก้ไขให้ถูกต้อง และส่งเบิกใหม่อีกครั้ง
Corrective	824	บันทึกเบิกรายการยา ที่ใช้ในกลุ่มฉีดน้ำวุ้นลูกตา มากกว่า1 รายการ	ตรวจสอบรายการยาฉีดวุ้นลูกตา โดยเบิกรายการยาดังกล่าวได้ 1รายการเท่านั้น
Corrective	825	บันทึกเบิกจำนวนชิ้นอุปกรณ์มากกว่าที่กำหนด	ตรวจสอบจำนวน/รายการ Instrument ที่ขอเบิก แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง กรณียืนยันตามจำนวนที่บันทึกเบิกส่งเอกสารเพื่อยืนยันจำนวนมายัง สปสช.
Corrective	826	กรณีการค่าฉีดยาเข้าวุ้นตาต้องบันทึกรหัสหัตถการฉีดยาเข้าวุ้นตา และระบุ Extension code ในรหัสหัตถการให้สอดคล้องกับ จำนวนข้างที่ขอเบิก	บันทึกรหัสหัตถการฉีดยาเข้าวุ้นตาและระบุ Extension code ในหน้าหัตถการเพิ่มเติม
Corrective	827	บริการยาสมุนไพร 9 รายการ กรณีหน่วยบริการนวัตกรรมด้าน แพทย์แผนไทย พื้นที่นำร่อง ไม่สามารถเบิกชดเชยได้	หน่วยบริการรับส่งต่อเฉพาะด้านแพทย์แผนไทย(R0210) , หน่วยบริการที่รับการส่งต่อ เฉพาะด้านเวชกรรม (R0207) ที่มีสังกัดย่อยเป็น คลินิกเอกชน (subtype 001305) เฉพาะที่อยู่ใน จังหวัดนำร่อง ไม่สามารถเบิกบริการยาสมุนไพร 9 รายการ ได้
Corrective	828-1	เบิกวัคซีนไข้หวัดใหญ่ขนาดสูง(high dose) ไม่ตรงกับสิทธิ ประโยชน์ที่กำหนด	ตรวจสอบสิทธิของผู้ป่วย แก้ไขข้อมูลให้ถูกต้องแล้วส่งเข้ามาใหม่ กรณีไม่มีสิทธิเบิก ไม่ ต้องแก้ไข หรือหากแก้ไขเลือกไม่ใช้สิทธิ
Corrective	828-2	เบิกวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose) และค่าฉีดร่วมกับ ธุรกรรมอื่น	ส่งเบิกวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose) และค่าฉีดแยกออกจากธุรกรรมอื่นตาม ประกาศ
Corrective	828-3	ไม่ใช่สถานพยาบาลตามช่วงเวลาที่กำหนดให้เบิกกรณีวัคซีนไข้หวัด ใหญ่ขนาดสูง (high dose)	ตรวจสอบวันรับบริการ กรณีเบิกวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose) ให้เป็นไปตาม ประกาศ
Corrective	828-4	บันทึกเบิกวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose) แต่อายุน้อยกว่า 65 ปี	ตรวจสอบการบันทึก วัน เดือน ปีเกิด แก้ไขให้ถูกต้อง หรือ หากอายุน้อยกว่า 65 ปีจริง ไม่เข้าเงื่อนไขการเบิก
Corrective	828-5	รหัสการวินิจฉัยโรคไม่ถูกต้อง กรณีเบิกวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose)	ตรวจสอบรหัสโรค กรณีเบิกชดเชยวัคซีนไข้หวัดใหญ่ขนาดสูง (high dose) ตรงตามที่ กำหนด
Corrective	829	เบิกกรณีฟอกเลือดล้างไต ตรวจสอบพบว่ามีการลงทะเบียนใน ระบบของสกส.	เบิกกรณีฟอกเลือดล้างไต ให้สถานพยาบาลเบิกค่าใช้จ่ายในโปรแกรมของ สกส.
Corrective	905	การแสดงตนยืนยันสิทธิเมื่อสิ้นสุดการรับบริการไม่ใช่บัตรประชาชน Smart card หรือเทียบเท่า	ปฎิเสธการจ่ายหากไม่ดำเนินการแสดงตนยืนยันสิทธิเมื่อสิ้นสุดบริการด้วย SMC และ ไม่ใช่ผู้ป่วยในกลุ่มบริการที่ยกเว้น ได้แก่ บริการสาธารณสุขระบบทางไกล (Telemedicine) การให้บริการแก่ผู้รับบริการซึ่งเป็นเด็กอายุต่ำกว่า 15 ปี การให้บริการ แก่เด็ก เยาวชนในสถานพินิจ และผู้ต้องขัง ให้สามารถใช้การพิสูจน์ตัวตน (Authentication) ด้วยวิธีการอื่นได้ การแสดงตนยืนยันสิทธิเมื่อสิ้นสุดการรับบริการด้วยวิธีที่ 6 การพิสูจน์ตัวตน (Authentication) ต้องใช้บัตรประชาชน Smart card ของผู้รับบริการ ในการพิสูจน์ ตัวตน (Authentication) เท่านั้น ซึ่งได้แก่ 1) การใช้เครื่องอ่านบัตรประชาชน (Smart Card) 2) การใช้เครื่องให้บริการอัตโนมัติ (KIOSK) ผ่านแอปพลิเคชั่น NHSO SECURE SMARTCARD AGENT 3) การใช้แอปพลิเคชั่น Authen by NHSO เฉพาะฟังก์ชั่นการใช้งานโดยการเสียบบัตร ประชาชนและ ยืนยันตัวตนด้วย THAID เท่านั้น 4) การใช้ผ่านทางหน้าเว็บ New Authen ของ สปสช. เฉพาะฟังก์ชั่นการใช้งานโดยการ เสียบบัตรประชาชนและ ยืนยันตัวตนด้วย THAID เท่านั้น (https://authenservice.nhso.go.th/authencode) 5) แอปพลิเคชั่นเป๋าตังค์ 6) แอปพลิเคชั่น Krungthai Digital Health Platform เฉพาะฟังก์ชั่นการใช้งานโดยการ เสียบบัตรประชาชนเท่านั้น (https://www.healthplatform.krungthai.com) 7) แอปพลิเคชั่นอื่นๆ ของ สปสช. ที่มีฟังก์ชั่นการยืนยันตัวตน เฉพาะฟังก์ชั่นการใช้งาน โดยการเสียบบัตรประชาชนเท่านั้น
Corrective	940-1	เลือกเงื่อนไขการเรียกเก็บไม่ถูกต้อง กรณีผู้ป่วยเปลี่ยนหน่วย บริการได้สิทธิทันที	ผลการตรวจสอบสิทธิเป็นกรณีผู้ป่วยเปลี่ยนหน่วยบริการได้สิทธิทันที แก้ไขเงื่อนไขการ เรียกเก็บเป็น "ย้ายหน่วยเกิดสิทธิทันที" ไม่ต้องบันทึก OPTYPE แก้ไขให้ถูกต้องและส่ง เบิกใหม่อีกครั้ง
Corrective	941	เบิกกรณี ER คุณภาพไม่เป็นไปตามเกณฑ์กรณีเหตุสมควรที่รับ บริการนอกเวลาทำการ	การเบิกกรณี ER คุณภาพ ไม่สามารถเบิกร่วมกับบริการ 1. ค่าส่งยาทางไปรษณีย์ (DRUGP) 2. ค่าบริการ Telehealth / Telemedicine (TELMED) 3. บริการ PP ทุกกรณี 4. รหัสเบิก 55021 ให้ทำการลบรายการดังกล่าวออกและส่งเบิกใหม่อีกครั้ง
Corrective	950	ข้อมูลไม่ครบถ้วน ไม่สามารถประมวลผลเพื่อการเบิกจ่ายชดเชยได้	ตรวจสอบข้อมูลให้ตรงตามโครงสร้าง 16 แฟ้ม และส่งข้อมูลผ่านระบบ Financial Data Hub (FDH) ใหม่อีกครั้ง
Corrective	951	ข้อมูลซ้ำซ้อน จากการส่งเบิกชดเชยผ่านช่องทางอื่นที่ไม่ใช่ Financial Data Hub (FDH)	ตรวจสอบการส่งเบิกชดเชย ให้ส่งเบิกได้จากช่องทางใดช่องทางหนึ่ง
Corrective	952	รายการ item เบิกแต่ละหมวด หรือยอดเงินเกินจำนวนที่กำหนด	วิธีการแก้ไข ตรวจสอบ 1. รายการ item ที่เบิกในแต่ละหมวดต้องไม่เกิน 999 รายการ หรือ 2. ราคาหัตถการในหน้า F3 ต้องไม่เกิน 99,999 บาท หรือ 3. รหัส CLINIC ต้องไม่เกิน 5 หลัก แก้ไขให้ถูกต้องและกดบันทึกใหม่อีกครั้ง
Corrective	994	กรณี OPBKK ข้อมูลที่รับบริการก่อนวันที่ 1 มีนาคม 2567 ส่งเบิก ชดเชย หลังจากระยะเวลาที่กำหนด	ข้อมูลที่ให้บริการก่อนวันที่ 1 มีนาคม 2567 แต่ส่งเบิกชดเชยหลังจากวันที่ 31 มีนาคม 2567 ไม่สามารถเบิกจ่ายได้ ตามประกาศฯ สปสช. เรื่องการจ่ายค่าใช้จ่ายเพื่อบริการ สาธารณสุข กรณีบริการผู้ป่วยนอกในเขตพื้นที่กรุงเทพมหานคร
Corrective	995	รายการ PP รับบริการตั้งแต่วันที่ 1 ตุลาคม 2566 ให้ส่งเบิกผ่าน ระบบของ KTB	แก้ไขส่งเบิกในระบบ KTB
